0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000747;;BTA 7,2% Mai 2027;1,51;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;6,02;;;;;;
;TNCR2TMAK1K8;;EMP NAT 2023 T2 CB TF;2,55;;;;;;
;TNGNCCQYSMR1;;BTA 9.9% decembre 2033;121,05;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0,51;;;;;;
;TNPDPODY2398;;EMP NAT 2024 T3 CC TF;3,05;;;;;;
;TNUWXR58DVH5;;EMP NAT 2024 T1 CB TF;5,82;;;;;;
;TNUWXR58DVH5;;EMP NAT 2024 T1 CB TF;1,05;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;2,01;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;0,41;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;1,01;;;;;;
