0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000622;BTA 6,3% Mars 2026;2,01;;;;;;
;TN0008000622;BTA 6,3% Mars 2026;3,01;;;;;;
;TN0008000622;BTA 6,3% Mars 2026;1,80;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;0,50;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;6,04;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,44;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;3,44;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,61;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,52;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,40;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,01;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,55;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30;;;;;;
;TNNR35P1MXQ0;BTC 52 semaines 02052025;60,09;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,75;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,40;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;6,52;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,52;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,01;;;;;;
