0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
;;Durée;;;;Emission;;;;Taux Fixe;;;;Taux Variable;;;;;;;;;;;
;;;;;(montant nominal;;;Taux plus haut;;;Taux plus bas;;;TMP;;;Taux plus haut;;;Taux plus bas;;;TMP;;
;;Taux plus haut;Taux plus bas;TMP;Taux plus haut;Taux plus bas;TMP;;;;;;;;;;;;;;;;;;
;;;en MDT);;;;;;;;;;;;;;;;;;;;;;
;De 1 à 30* jours;;192,00;;9,60;;7,00;;8,45;;0,00;;0,00;;0,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;De 30** à 90* jours;;65,00;;10,03;;7,75;;8,68;;0,00;;0,00;;0,00;;;;;;;;;;
;"De 90**  à 180*jours";;8,50;;9,00;;8,50;;8,91;;0,00;;0,00;;0,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;"De 180** à 360*jours";;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Au-delà d'1 an;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;
