0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;35,25;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,52;;;;;;
TN0008000655;BTA 6,6% Mars 2027;7,61;;;;;;
TN0008000655;BTA 6,6% Mars 2027;11,08;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,62;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,84;;;;;;
TN0008000747;BTA 7,2% Mai 2027;5,04;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;7,10;;;;;;
TNMUZFAMCT05;BTCT 52 semaines 14102025;5,15;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,90;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7,32;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;0,50;;;;;;
