0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000721;BTA 7,2% Fevrier 2027;2 274;2,300;304;8,910;;;;;;;;;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;7 512;7,701;269;8,910;;;;;;;;;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;8 390;8,601;269;8,910;;;;;;;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;13 793;1,500;7;7,500;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;6 560;6,597;31;8,810;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1 441;1,522;31;8,810;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3 190;3,400;26;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3 288;3,441;10;7,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;588;0,615;10;7,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;539;0,563;10;7,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1 434;1,500;60;8,250;;;;;;;;;;;;
TN0008000770;BTA 7,3% Decembre 2027;2 040;1,976;238;8,910;;;;;;;;;;;;
TN0008000770;BTA 7,3% Decembre 2027;3 900;3,777;238;8,910;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;427;0,407;217;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;13 500;12,878;244;8,910;;;;;;;;;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;16 000;1,600;182;9,150;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;1 000;0,961;286;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;4 194;4,001;28;9,100;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;6 814;6,500;28;9,100;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1 900;0,200;27;8,910;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5 928;0,624;21;8,410;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14 248;1,500;7;8,910;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;13 299;1,400;10;8,910;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2 000;0,200;32;8,250;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 000;0,400;32;8,250;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8 000;0,800;12;8,990;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8 000;0,800;13;8,990;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10 000;1,000;31;9,530;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;58 000;5,800;13;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2 375;0,250;10;7,410;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;378;0,400;31;7,500;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;13 500;12,878;244;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;13 500;12,878;244;8,910;;;;;;;;;;;;
