0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;495;0,499;50;8,400;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;991;0,999;59;8,400;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;;16 500;1,650;10;9,090;;;;;;;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;;5 000;0,500;326;9,400;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;49 491;5,000;10;8,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;2 140;2,000;332;9,640;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;;35 236;36,000;30;8,840;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;5 000;0,500;14;9,600;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;108 879;11,000;10;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;4 950;0,500;10;8,990;;;;;;;;;;;;
