0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;36,33;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,60;;;;;;
TN0008000655;BTA 6,6% Mars 2027;1,00;;;;;;
TN0008000655;BTA 6,6% Mars 2027;1,00;;;;;;
TN0008000655;BTA 6,6% Mars 2027;1,00;;;;;;
TN0008000655;BTA 6,6% Mars 2027;0,50;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;2,41;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7,53;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,71;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,20;;;;;;
