0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;0,20;;;;;;
TN0008000622;BTA 6,3% Mars 2026;2,72;;;;;;
TN0008000622;BTA 6,3% Mars 2026;2,01;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,20;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,43;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,61;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,44;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,26;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5,02;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,02;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;0,20;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,01;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;5,02;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,01;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;0,50;;;;;;
