0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;2,05;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,45;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;5,44;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;9,62;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;3,30;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,03;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,40;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,00;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4,52;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,70;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;60,12;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;1,55;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;1,55;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;2,07;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,32;;;;;;
