0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000721;BTA 7,2% Fevrier 2027;44,76;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;17,91;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,31;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,01;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,60;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,52;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,83;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,60;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,40;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,23;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;7,94;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,70;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,07;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,58;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,03;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,55;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,43;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;14,32;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;14,32;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;76,68;;;;;;
