0;1;2;3;4;5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 848;1,500;10;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 950;0,500;10;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 970;0,300;15;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;98 981;10,000;30;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;25 487;25,699;7;8,150
TN0008000721;BTA 7,2% Fevrier 2027;4 469;5,000;9;8,250
TN0008000721;BTA 7,2% Fevrier 2027;5 363;6,000;16;8,250
TN0008000721;BTA 7,2% Fevrier 2027;3 129;3,500;18;8,250
TN0008000721;BTA 7,2% Fevrier 2027;6 257;7,000;10;8,250
TN0008000721;BTA 7,2% Fevrier 2027;2 682;3,000;10;8,250
TN0008000721;BTA 7,2% Fevrier 2027;4 469;5,000;10;8,250
TN0008000721;BTA 7,2% Fevrier 2027;447;0,500;10;8,250
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49 491;5,000;16;8,990
TN0008000655;BTA 6,6% Mars 2027;5 027;5,001;16;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;69 287;7,000;16;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 950;0,500;22;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 950;0,500;22;8,990
TN0008000622;BTA 6,3% Mars 2026;9 494;10,000;35;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 899;1,000;8;8,990
