0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000705;BTA 6,5% Juin 2025;5,01;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,61;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,81;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,01;;;;;;
TN0008000762;BTA 8% Novembre 2030;30,69;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,55;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,28;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,25;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,50;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,60;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;6,52;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;4,03;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;10,08;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,80;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,14;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7,04;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18,06;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,50;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;3,04;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;29,81;;;;;;
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;5,01;;;;;;
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;0,80;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,52;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,75;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;28,95;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;60,45;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5,11;;;;;;
