0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000580;;BTA 6,3% Octobre 2026;0,13;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;2,11;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;0,15;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;1,01;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;9,04;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;0,93;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;7,39;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,51;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,30;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,20;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,60;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,51;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;6,02;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;4,19;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0,63;;;;;;
