0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ISIN;SIN;Libellé;Libellé;;;Nombre;;Nombre Titres;Nombre Titres;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;Date;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Opérations;dernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;;;Plus Bas;;;;Plus Haut;;;TMP;;;Opération;
TNOIFDS2U4S0;BTCT 52 semaines 23062025;;9;-;960 000;-;-;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3ZI0XTRW84;BTCT 26 semaines 11072025;;-;1;-;32 000;-;30 673,131;8,70%;;8,70%;8,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNNIY0O9TTE6;BTCT 52 semaines 15072025;;9;-;1 000 000;-;-;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN20X3SC7J74;BTCT 26 semaines 18072025;;-;1;-;90 000;-;86 288,170;8,70%;;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNH7HFOU5LW6;BTCT 26 semaines 11082025;;-;1;-;30 000;-;28 756,060;8,70%;;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;BTCT 26 semaines 12082025;;-;2;-;40 880;-;39 157,713;8,70%;;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNZZMSC80KH7;BTCT 26 semaines 15082025;;-;1;-;60 000;-;57 525,447;8,70%;;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;BTCT 52 semaines 22082025;;10;-;700 000;-;-;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3TDNYC24V7;BTCT 26 semaines 25082025;;-;1;-;60 000;-;57 512,121;8,70%;;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
