0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000622;BTA 6,3% Mars 2026;;500;0,492;90;8,910;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;;3 000;2,777;90;8,910;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;327;0,350;5;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;2 800;2,800;183;9,150;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;;4 000;0,400;13;8,990;;;;;;;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;;73 000;7,300;13;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;14 095;1,460;90;8,410;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;8 689;0,900;12;8,410;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;4 827;0,500;9;8,910;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;1 200;1,200;183;9,150;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;7 724;0,800;90;8,410;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;;19 308;2,000;20;8,910;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;3 872;4,001;30;7,500;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;194;0,200;30;7,350;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;966;1,000;128;7,700;;;;;;;;;;;;
