0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000747;BTA 7,2% Mai 2027;1,02;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,20;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,06;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,43;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,55;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,60;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,28;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,25;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;20,55;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,49;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,25;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,50;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;89,64;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;2,01;;;;;;
