0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,05;;;;;;
TNAAGB5WL0L0;BH LEASING 2024-2;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,60;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,90;;;;;;
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;1,21;;;;;;
TNN34MAL82X0;MICROCRED 2024-1  TF;1,81;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,80;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;6,72;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;0,20;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5,54;;;;;;
