0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;0,17;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;0,18;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1,10;;;;;;
TN0008000747;BTA 7,2% Mai 2027;16,60;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;15,04;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;20,15;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,82;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,80;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,06;;;;;;
