0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000747;;BTA 7,2% Mai 2027;0,82;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;2,05;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;2,76;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;4,01;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;3,45;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,62;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,56;;;;;;
;TN0008000838;;EMP NAT T1 2021 CB;2,50;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;2,00;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;0,65;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,01;;;;;;
