0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;6,15;;;;;;
TN0008000622;BTA 6,3% Mars 2026;8,03;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,17;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,18;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;20,14;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,04;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,02;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,36;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,20;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,02;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;1,45;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,06;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,06;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10,41;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;0,31;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;2,76;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,41;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;0,31;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,54;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,03;;;;;;
