0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;ISIN;;;;Libelle;;;;Nombre de Titres;;;;Montant;;;;Echéance;;;;Taux;;
;TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;16 500;;1,650;;29;;7,750;;;;;;;;;;;;;
;TN0008000663;;BTA 7,5% Juillet 2032;;327;;0,350;;18;;7,250;;;;;;;;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;;2 401;;2,501;;60;;7,500;;;;;;;;;;;;;
;TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;30 000;;3,000;;18;;8,600;;;;;;;;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;34 000;;3,400;;18;;8,600;;;;;;;;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;;614;;0,600;;11;;8,230;;;;;;;;;;;;;
;TNMCPXLL1EE2;;EMP NAT 2023 T4 CB TV;;14 000;;1,400;;11;;8,600;;;;;;;;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;;11 249;;11,001;;18;;8,500;;;;;;;;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;;4 806;;4,700;;18;;8,500;;;;;;;;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;46 291;;4,700;;18;;8,500;;;;;;;;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;16 744;;1,700;;33;;8,500;;;;;;;;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;108 341;;11,000;;18;;8,500;;;;;;;;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;;514;;0,500;;90;;8,020;;;;;;;;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;14 774;;1,500;;33;;8,500;;;;;;;;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;;2 674;;2,599;;90;;8,020;;;;;;;;;;;;;
