0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000796;BTA 7,5% Janvier 2028;2,01;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,65;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,41;;;;;;
TN0008000838;EMP NAT T1 2021 CB;1,01;;;;;;
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;0,50;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,60;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,02;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;5,02;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,05;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,40;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;0,50;;;;;;
