0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000739;;BTA 7,4% Fevrier 2030;1,26;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;4,01;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;3,87;;;;;;
;TN0008000770;;BTA 7,3% Decembre 2027;0,25;;;;;;
;TN0008000770;;BTA 7,3% Decembre 2027;0,91;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;2,82;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,02;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;3,83;;;;;;
;TNGCLJS7FYQ7;;EMP NAT 2024 T4 CC TF;3,02;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;8,93;;;;;;
;TNPDPODY2398;;EMP NAT 2024 T3 CC TF;1,00;;;;;;
;TNPDPODY2398;;EMP NAT 2024 T3 CC TF;3,06;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;11,03;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;3,00;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;10,04;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;4,31;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;6,02;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;1,00;;;;;;
