0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000622;;BTA 6,3% Mars 2026;15,04;;;;;;
;TN0008000622;;BTA 6,3% Mars 2026;3,00;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;2,38;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;1,87;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;0,10;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;2,01;;;;;;
;TN0008000838;;EMP NAT T1 2021 CB;0,31;;;;;;
;TN0008000838;;EMP NAT T1 2021 CB;0,38;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;4,23;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;2,02;;;;;;
;TN9FK1JVMO04;;BTCT 52 semaines 04052026;83,27;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;3,07;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,81;;;;;;
