0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000655;BTA 6,6% Mars 2027;1,00;;;;;;
TN0008000747;BTA 7,2% Mai 2027;5,81;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,51;;;;;;
TN0008000762;BTA 8% Novembre 2030;2,00;;;;;;
TN0008000762;BTA 8% Novembre 2030;12,08;;;;;;
TN0008000762;BTA 8% Novembre 2030;3,72;;;;;;
TN0008000762;BTA 8% Novembre 2030;11,06;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8,05;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,51;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14,29;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;8,88;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,10;;;;;;
