0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000762;;BTA 8% Novembre 2030;12,07;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;14,06;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;20,14;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;1,00;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;12,07;;;;;;
;TNMCPXLL1EE2;;EMP NAT 2023 T4 CB TV;5,02;;;;;;
;TNVFSFLG1FH4;;EMP NAT 2022 T4 CC TV;0,85;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;1,51;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;0,20;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;4,03;;;;;;
