0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;;Taux;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;24 588;2,500;9;;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;5 901;0,600;30;;7,750;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;3 934;0,400;30;;7,750;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;15 500;1,550;10;;8,750;;;;;;;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;;15 000;1,500;10;;8,750;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;22 621;2,300;106;;8,500;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;14 379;13,989;91;;8,510;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;;20 400;2,040;9;;8,600;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;;91 000;9,100;16;;8,600;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;513;0,499;30;;8,500;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;513;0,499;30;;8,500;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;2 042;2,000;30;;8,500;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;1 021;1,000;30;;8,500;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;;3 940;0,394;30;;8,150;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;15 736;1,600;21;;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;19 670;2,000;30;;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;9 835;1,000;30;;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;14 427;1,500;21;;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;67 324;7,000;21;;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;14 753;1,500;30;;7,000;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;4 918;0,500;10;;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;4 918;0,500;106;;8,500;;;;;;;;;;;;
