0;1;2
TN0008000812;BTA 7,5% 13/12/2028;0,20
TN0008000812;BTA 7,5% 13/12/2028;1,52
TN0008000812;BTA 7,5% 13/12/2028;0,20
TN0008000812;BTA 7,5% 13/12/2028;4,03
TN0008000812;BTA 7,5% 13/12/2028;6,55
TN0008000812;BTA 7,5% 13/12/2028;3,48
TN0008000812;BTA 7,5% 13/12/2028;0,62
TN0008000812;BTA 7,5% 13/12/2028;0,57
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,04
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00
TNPDPODY2398;EMP NAT 2024 T3 CC TF;5,26
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14,06
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,15
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,02
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5,18
