0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000721;BTA 7,2% Fevrier 2027;2,78;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;2,06;;;;;;
TN0008000762;BTA 8% Novembre 2030;1,26;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,01;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,11;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;2,32;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;5,32;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,15;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;3,07;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,31;;;;;;
