0;1;2
TN0008000663;BTA 7,5% Juillet 2032;0,60
TN0008000663;BTA 7,5% Juillet 2032;3,06
TN0008000663;BTA 7,5% Juillet 2032;1,56
TN0008000721;BTA 7,2% Fevrier 2027;0,91
TN0008000721;BTA 7,2% Fevrier 2027;0,10
TN0008000739;BTA 7,4% Fevrier 2030;21,33
TN0008000739;BTA 7,4% Fevrier 2030;11,17
TN0008000747;BTA 7,2% Mai 2027;3,17
TN0008000762;BTA 8% Novembre 2030;3,52
TN0008000762;BTA 8% Novembre 2030;1,51
TN0008000762;BTA 8% Novembre 2030;6,02
TN0008000838;EMP NAT T1 2021 CB;0,25
TN0008000838;EMP NAT T1 2021 CB;0,60
TN0008000838;EMP NAT T1 2021 CB;3,00
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;2,00
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;2,01
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;2,04
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;0,82
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,51
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,77
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,09
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,12
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,65
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,13
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,04
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,52
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6,24
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,03
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,74
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8,94
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,01
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,01
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,90
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,51
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,81
