0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0003400686;AMEN BANK SUB 2021-1 CA TV;Remboursement partiel;6,00;;;;;;;;
;TN0003400686;AMEN BANK SUB 2021-1 CA TV;Paiement de coupons;2,56;;;;;;;;
;TN0003400694;AMEN BANK SUB 2021-1 CB TV;Remboursement partiel;1,00;;;;;;;;
;TN0003400694;AMEN BANK SUB 2021-1 CB TV;Paiement de coupons;0,75;;;;;;;;
;TN0004200853;CIL (AA);Dividende;4,64;;;;;;;;
;TN0006610018;ATTIJARI LEASING (AA);Dividende;5,50;;;;;;;;
;TN0006720130;Modern Leasing Subordonne 2018-1 CB TF;Paiement de coupons;0,05;;;;;;;;
;TN0006720130;Modern Leasing Subordonne 2018-1 CB TF;Remboursement à l’échéance;0,60;;;;;;;;
;TN0R77XCOAH0;STB SUB 2021-1 CE TF TRI;Paiement de coupons;0,01;;;;;;;;
