0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;5,70;;;;;;
TN0008000705;BTA 6,5% Juin 2025;9,94;;;;;;
TN0008000762;BTA 8% Novembre 2030;12,09;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,96;;;;;;
TN0008000838;EMP NAT T1 2021 CB;0,65;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;10,05;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;12,09;;;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;20,89;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,47;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,96;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,80;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8,02;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,30;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;15,04;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;121,04;;;;;;
