0;1;2;3;4;5;6;7;8;9;10;11
TN0008000895;"EMPRUNT NATIONAL 2021T2 CB";-;1;-;50 000;-;5 211,200;9%;9%;9%;02/04/2025
TN5QHXZ8T348;EMP NAT 2021 T3 CB TV;-;2;-;20 000;-;2 108,235;3%;3%;3%;03/06/2025
TNYZO6UGUZ33;EMP NAT 2021 T3 CB TF;-;-;-;-;-;-;-;-;-;17/11/2021
TNJ1M1ZAWYG5;EMP NAT 2022 T2 CA TF;-;-;-;-;-;-;-;-;-;15/06/2022
TNQCK0BPZ5A4;EMP NAT 2022 T2 CA TV;-;-;-;-;-;-;-;-;-;15/06/2022
TN0008000846;EMP NAT T1 2021 CC;-;-;-;-;-;-;-;-;-;01/07/2021
TN0008000903;"EMPRUNT NATIONAL 2021T2 CC";-;-;-;-;-;-;-;-;-;26/08/2021
TN3QL5M1QLW6;EMP NAT 2021 T3 CC TF;-;-;-;-;-;-;-;-;-;17/11/2021
TNJP2LP1CVE1;EMP NAT 2021 T3 CC TV;-;-;-;-;-;-;-;-;-;17/11/2021
TNGVARQJO7Y7;EMP NAT 2023 T4 CA TF;-;-;-;-;-;-;-;-;-;07/12/2023
TN0OU20VQYS5;EMP NAT 2022 T1 CB TV;-;-;-;-;-;-;-;-;-;18/03/2022
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;-;1;-;80 000;-;6 541,584;9%;9%;9%;18/06/2025
TNFOOWIRG8H7;EMP NAT 2022 T2 CB TV;-;-;-;-;-;-;-;-;-;15/06/2022
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;-;-;-;-;-;-;-;-;-;27/02/2023
TNBDWIX8EYF6;EMP NAT 2024 T3 CA TF;1;-;182;-;1,820;-;-;-;-;13/09/2024
TN0JN6PVVH38;EMP NAT 2022 T3 CB TV;-;-;-;-;-;-;-;-;-;16/09/2022
TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;-;1;-;80 000;-;8 574,558;9%;9%;9%;18/06/2025
TN7PM93UZP50;EMP NAT 2022 T4 CB TV;-;-;-;-;-;-;-;-;-;18/11/2022
TNWRCVSYL730;EMP NAT 2022 T4 CB TF;-;-;-;-;-;-;-;-;-;18/11/2022
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;-;-;-;-;-;-;-;-;-;17/02/2023
TNCGJF5TW027;EMP NAT 2023 T1 CB TF;-;-;-;-;-;-;-;-;-;22/09/2023
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;-;-;-;-;-;-;-;-;-;19/05/2023
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;-;-;-;-;-;-;-;-;-;19/05/2023
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;-;-;-;-;-;-;-;-;-;14/09/2023
TNVE955M6R90;EMP NAT 2023 T3 CB TF;-;-;-;-;-;-;-;-;-;14/09/2023
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;-;-;-;-;-;-;-;-;-;07/12/2023
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;-;-;-;-;-;-;-;-;-;07/12/2023
