0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;;4 657;0,500;17;8,990;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;;281;0,300;35;7,250;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;31 000;3,100;17;8,600;;;;;;;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;;16 000;1,600;17;8,600;;;;;;;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;;15 000;1,500;9;8,600;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;5 000;0,500;9;8,600;;;;;;;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;;30 500;3,050;10;8,750;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;14 863;1,500;14;8,500;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;665;0,700;126;8,000;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;7 432;0,750;14;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;84 221;8,500;14;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;108 992;11,000;10;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;9 909;1,000;30;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;7 927;0,800;30;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;49 542;5,000;10;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;9 909;1,000;8;8,500;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;;2 500;0,250;30;9,500;;;;;;;;;;;;
