0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;2,60;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;0,51;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;5,24;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,51;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,43;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,04;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,00;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;0,55;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,91;;;;;;
