0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;0,30;;;;;;
TN0008000606;BTA 6,7% Avril 2028;0,61;;;;;;
TN0008000622;BTA 6,3% Mars 2026;9,67;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;5,03;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;2,01;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;0,25;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,60;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,98;;;;;;
TN0008000838;EMP NAT T1 2021 CB;3,00;;;;;;
TN0008000838;EMP NAT T1 2021 CB;1,21;;;;;;
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;2,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,30;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;0,31;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;7,06;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;12,10;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;2,02;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;1,40;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,01;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,11;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;3,50;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;3,00;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,20;;;;;;
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;1,11;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,11;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;20,11;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10,38;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,70;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10,03;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;0,20;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,51;;;;;;
