0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000812;BTA 7,5% 13/12/2028;2,12;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,00;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,00;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;4,01;;;;;;
TN0008000838;EMP NAT T1 2021 CB;0,28;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,80;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,51;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,81;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8,53;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9,04;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,01;;;;;;
