0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000580;BTA 6,3% Octobre 2026;0,25;;;;;;
;TN0008000580;BTA 6,3% Octobre 2026;0,45;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;2,34;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;3,01;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;2,53;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;20,21;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;0,30;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;0,35;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;2,33;;;;;;
;TN0008000762;BTA 8% Novembre 2030;4,72;;;;;;
;TN0008000762;BTA 8% Novembre 2030;11,05;;;;;;
;TN0008000762;BTA 8% Novembre 2030;8,03;;;;;;
;TN0008000770;BTA 7,3% Decembre 2027;18,82;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,30;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,80;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,63;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,20;;;;;;
;TN0008000838;EMP NAT T1 2021 CB;3,00;;;;;;
;TN0008000838;EMP NAT T1 2021 CB;0,18;;;;;;
;TN0008000838;EMP NAT T1 2021 CB;0,50;;;;;;
;TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;2,00;;;;;;
;TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,00;;;;;;
;TNAAGB5WL0L0;BH LEASING 2024-2;0,50;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,74;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,52;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,01;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,02;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,10;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,37;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,54;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6,55;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,70;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;3,01;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5,83;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1,53;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;6,43;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2,31;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2,01;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2,01;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,50;;;;;;
;TNVE955M6R90;EMP NAT 2023 T3 CB TF;0,20;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,41;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,72;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;11,05;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;8,03;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,20;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,11;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,80;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,01;;;;;;
