0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000663;BTA 7,5% Juillet 2032;1,80;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1,00;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1,11;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;10,06;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;7,04;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;3,02;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1,46;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;0,22;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;0,13;;;;;;
TN0008000762;BTA 8% Novembre 2030;12,06;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,03;;;;;;
TN0008000838;EMP NAT T1 2021 CB;2,00;;;;;;
TN0008000838;EMP NAT T1 2021 CB;3,00;;;;;;
