0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000663;BTA 7,5% Juillet 2032;6,52;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;3,39;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;6,98;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;5,80;;;;;;
TN0008000697;BTA 7% Juillet 2028;1,31;;;;;;
TN0008000697;BTA 7% Juillet 2028;2,66;;;;;;
TN0008000697;BTA 7% Juillet 2028;2,43;;;;;;
TN0008000697;BTA 7% Juillet 2028;4,87;;;;;;
TN0008000697;BTA 7% Juillet 2028;1,24;;;;;;
TN0008000697;BTA 7% Juillet 2028;12,43;;;;;;
TN0008000697;BTA 7% Juillet 2028;1,63;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;1,00;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9,57;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,83;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;8,36;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;121,04;;;;;;
