0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;4,03;;;;;;
TN0008000622;BTA 6,3% Mars 2026;15,11;;;;;;
TN0008000655;BTA 6,6% Mars 2027;0,35;;;;;;
TN0008000697;BTA 7% Juillet 2028;5,75;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;10,21;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;22,46;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;7,66;;;;;;
TN0008000762;BTA 8% Novembre 2030;6,13;;;;;;
TN0008000762;BTA 8% Novembre 2030;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,41;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;5,11;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;5,82;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,23;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,82;;;;;;
