0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0001901172;BH BANK SUB 2021-1 CC TV;Remboursement partiel;1,00;;;;;;;;
;TN0001901131;BH BANK SUB 2021-1 CA TF;Remboursement partiel;0,20;;;;;;;;
;TN0001901149;BH BANK SUB 2021-1 CA TV;Paiement de coupons;0,07;;;;;;;;
;TN0001901172;BH BANK SUB 2021-1 CC TV;Paiement de coupons;0,21;;;;;;;;
;TN0001901198;BH BANK SUB 2021-1 CD TV IF;Paiement de coupons;1,08;;;;;;;;
;TN0001901164;BH BANK SUB 2021-1 CC TF;Paiement de coupons;0,76;;;;;;;;
;TN0001901180;BH BANK SUB 2021-1 CD TF IF;Paiement de coupons;1,59;;;;;;;;
;TN0001901131;BH BANK SUB 2021-1 CA TF;Paiement de coupons;0,03;;;;;;;;
;TN0001901164;BH BANK SUB 2021-1 CC TF;Remboursement partiel;4,20;;;;;;;;
;TN0007810096;ADVANS 2021-1;Paiement de coupons;1,20;;;;;;;;
;TN0001901149;BH BANK SUB 2021-1 CA TV;Remboursement partiel;0,32;;;;;;;;
;TN0001901156;BH BANK SUB 2021-1 CB TF IF;Paiement de coupons;0,53;;;;;;;;
;TN0007810096;ADVANS 2021-1;Remboursement partiel;3,00;;;;;;;;
