0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;0,98;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;6,91;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1,63;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,02;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,98;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;9,07;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;4,03;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1,00;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,51;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9,06;;;;;;
